repeat,noise_fraction,protocol,eigen_index,eigenvalue,retained_90
8,0.15,CRN,4,43.53413205795246,4
8,0.15,CRN,5,0.9034758943382686,4
8,0.15,CRN,6,0.5875380238812795,4
8,0.15,CRN,7,0.48460225906183607,4
8,0.15,CRN,8,0.43542504905219426,4
8,0.15,CRN,9,0.3702148379889391,4
8,0.15,CRN,10,0.27574949756961303,4
8,0.15,independent,1,1103.7195838790676,9
8,0.15,independent,2,1087.6853541391897,9
8,0.15,independent,3,1058.268999370959,9
8,0.15,independent,4,824.1712982485577,9
8,0.15,independent,5,675.8685927758781,9
8,0.15,independent,6,658.2240591747519,9
8,0.15,independent,7,576.2813690838217,9
8,0.15,independent,8,509.8437455303825,9
8,0.15,independent,9,508.58952079147076,9
8,0.15,independent,10,443.5589709600055,9
9,0.0,deterministic,1,248.2678663450976,4
9,0.0,deterministic,2,67.38865623488729,4
9,0.0,deterministic,3,54.97810374386422,4
9,0.0,deterministic,4,39.29463192476572,4
9,0.0,deterministic,5,0.929679375070088,4
9,0.0,deterministic,6,0.61619304205127,4
9,0.0,deterministic,7,0.4669443121413145,4
9,0.0,deterministic,8,0.42270912007958217,4
9,0.0,deterministic,9,0.36988484144766964,4
9,0.0,deterministic,10,0.3241312076266736,4
9,0.05,CRN,1,247.46000860809184,4
9,0.05,CRN,2,63.184628388054,4
9,0.05,CRN,3,52.20682890541677,4
9,0.05,CRN,4,43.53413205795245,4
9,0.05,CRN,5,0.9034758943382644,4
9,0.05,CRN,6,0.587538023881279,4
9,0.05,CRN,7,0.48460225906184073,4
9,0.05,CRN,8,0.4354250490521868,4
9,0.05,CRN,9,0.37021483798893773,4
9,0.05,CRN,10,0.27574949756961253,4
9,0.05,independent,1,310.2861512358727,8
9,0.05,independent,2,131.99095711846354,8
9,0.05,independent,3,123.18749994872101,8
9,0.05,independent,4,121.17657230506455,8
9,0.05,independent,5,118.30171943424212,8
9,0.05,independent,6,113.75072858088262,8
9,0.05,independent,7,112.4364582110977,8
9,0.05,independent,8,75.20624320000674,8
9,0.05,independent,9,57.03856970804127,8
9,0.05,independent,10,52.232645401612466,8
9,0.15,CRN,1,260.79327645379817,4
9,0.15,CRN,2,62.89466126914981,4
9,0.15,CRN,3,56.64158842899255,4
9,0.15,CRN,4,41.49728699483834,4
9,0.15,CRN,5,0.6341194678165164,4
9,0.15,CRN,6,0.5736251962266908,4
9,0.15,CRN,7,0.412618863650618,4
9,0.15,CRN,8,0.3894725509408876,4
9,0.15,CRN,9,0.30017130997217295,4
9,0.15,CRN,10,0.24414508586400213,4
9,0.15,independent,1,1099.9549142736191,9
9,0.15,independent,2,778.7396363951424,9
9,0.15,independent,3,618.7503535880768,9
9,0.15,independent,4,588.3366356544848,9
9,0.15,independent,5,553.8261608452001,9
9,0.15,independent,6,507.2223282641482,9
9,0.15,independent,7,488.5916028817206,9
9,0.15,independent,8,482.7100680972251,9
9,0.15,independent,9,306.4664950381183,9
9,0.15,independent,10,278.6851293428671,9
10,0.0,deterministic,1,237.82843719263877,4
10,0.0,deterministic,2,65.19257966296651,4
10,0.0,deterministic,3,48.357077354682815,4
10,0.0,deterministic,4,44.157050146617216,4
